Grazers,Browsers,Fishing_Pressure,Generalists,Final_Coral,Final_Turf,Final_Macroalgae,Final_Grazers,Final_Browsers,Final_Generalists,Id
0,0,0,0,2.2204460492503436e-16,4.440892098500706e-16,0.9999999999999984,0,0,0,Generalists = 0
0.025,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.05,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.07500000000000001,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.1,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.125,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.15000000000000002,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.17500000000000002,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.2,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.225,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.25,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.275,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.30000000000000004,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.325,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.35000000000000003,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.375,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.4,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.42500000000000004,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.45,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.47500000000000003,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.5,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.525,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.55,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.5750000000000001,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.6000000000000001,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.625,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.65,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
0.675,0,0,0,2.498001805406634e-16,5.551115123125779e-17,0.9999999999999988,0.40000000000000047,0,0,Generalists = 0
