f_values,Fishing,Initial_Coral,Final_Coral,Final_Turf,Final_Macroalgae,Final_Algae,Final_Grazers,Final_Generalists,Final_Browsers,Final_Herbivores,Final_Space,Id,Type
0,0,0.75,0.7114098657175727,0.013800840584240226,0.003336186254893084,0.01713702683913331,0.2756153064768476,0.2756153064768476,0.2756153064768476,0.8268459194305429,0.271453107443294,Forward,E) Herbivore groups even
0.005,0.005,0.7114098657175727,0.7112858780099856,0.013880363120145737,0.003378443157588987,0.017258806277734726,0.27421255639065406,0.27421255639065406,0.27421255639065406,0.8226376691719621,0.2714553157122797,Forward,E) Herbivore groups even
0.01,0.01,0.7112858780099856,0.7111600990200699,0.013960817845899585,0.0034215163590718763,0.017382334204971463,0.2728096996059741,0.2728096996059741,0.2728096996059741,0.8184290988179224,0.2714575667749586,Forward,E) Herbivore groups even
0.015,0.015,0.7111600990200699,0.7110324895159913,0.014042221482235087,0.003465427257237428,0.017507648739472515,0.2714067337679839,0.2714067337679839,0.2714067337679839,0.8142202013039517,0.2714598617445362,Forward,E) Herbivore groups even
0.02,0.02,0.7110324895159913,0.7109030091057715,0.014124591159122122,0.0035101979641892563,0.01763478912331138,0.2700036564513982,0.2700036564513982,0.2700036564513982,0.8100109693541946,0.27146220177091707,Forward,E) Herbivore groups even
0.025,0.025,0.7109030091057715,0.7107716161937998,0.014207944428622053,0.0035558513354014185,0.017763795764023472,0.2686004651577913,0.2686004651577913,0.2686004651577913,0.8058013954733738,0.2714645880421767,Forward,E) Herbivore groups even
0.03,0.03,0.7107716161937998,0.7106382679353519,0.014292299278242071,0.0036024110002982083,0.01789471027854028,0.26719715731279187,0.26719715731279187,0.26719715731279187,0.8015914719383757,0.2714670217861078,Forward,E) Herbivore groups even
0.035,0.035,0.7106382679353519,0.7105029201890157,0.01437767414481202,0.0036499013943314704,0.01802757553914349,0.26579373026314695,0.26579373026314695,0.26579373026314695,0.7973811907894408,0.2714695042718408,Forward,E) Herbivore groups even
0.04,0.04,0.7105029201890157,0.7103655274669078,0.014464087928908447,0.0036983477926410186,0.018162435721549467,0.2643901812736466,0.2643901812736466,0.2643901812736466,0.7931705438209398,0.2714720368115427,Forward,E) Herbivore groups even
0.045,0.045,0.7103655274669078,0.7102260428825586,0.014551560009851817,0.003747776345389324,0.01829933635524114,0.2629865075239023,0.2629865075239023,0.2629865075239023,0.7889595225717069,0.27147462076220025,Forward,E) Herbivore groups even
0.05,0.05,0.7102260428825586,0.7100844180963394,0.014640110261304308,0.0037982141148676365,0.018438324376171943,0.26158270610497136,0.26158270610497136,0.26158270610497136,0.7847481183149141,0.2714772575274887,Forward,E) Herbivore groups even
0.055,0.055,0.7100844180963394,0.7099406032582892,0.014729759067497466,0.003849689114477355,0.018579448181974823,0.2601787740158169,0.2601787740158169,0.2601787740158169,0.7805363220474507,0.27147994855973595,Forward,E) Herbivore groups even
0.06,0.06,0.7099406032582892,0.7097945469482,0.014820527340120185,0.0039022303496972018,0.018722757689817387,0.2587747081595952,0.2587747081595952,0.2587747081595952,0.7763241244787855,0.2714826953619826,Forward,E) Herbivore groups even
